TeamName,Season,PlayerName,Player_id,Team_id,Pos,Ht,Wt,Birth Date,Birth,Exp,College
Milwaukee Bucks,2018-19,Tim Frazier,fraziti01,MIL,PG,6-1,170,"November 1, 1990",us US,4,Penn State
Milwaukee Bucks,2018-19,Pau Gasol,gasolpa01,MIL,C,7-0,250,"July 6, 1980",es ES,17,
Milwaukee Bucks,2018-19,John Henson,hensojo01,MIL,C,6-9,219,"December 28, 1990",us US,6,UNC
Milwaukee Bucks,2018-19,George Hill,hillge01,MIL,PG,6-4,188,"May 4, 1986",us US,10,IUPUI
Milwaukee Bucks,2018-19,Ersan Ä°lyasova,ilyaser01,MIL,PF,6-9,235,"May 15, 1987",tr TR,10,
Milwaukee Bucks,2018-19,Brook Lopez,lopezbr01,MIL,C,7-1,282,"April 1, 1988",us US,10,Stanford
Milwaukee Bucks,2018-19,Thon Maker,makerth01,MIL,C,7-0,221,"February 25, 1997",ss SS,2,
Milwaukee Bucks,2018-19,Khris Middleton,middlkh01,MIL,SF,6-7,222,"August 12, 1991",us US,6,Texas A&M
Milwaukee Bucks,2018-19,Nikola MirotiÄ,mirotni01,MIL,PF,6-10,250,"February 11, 1991",me ME,4,
Milwaukee Bucks,2018-19,Jaylen Morris,morrija01,MIL,SG,6-5,185,"September 19, 1995",us US,1,Molloy
Milwaukee Bucks,2018-19,Jason Smith,smithja02,MIL,PF,7-0,240,"March 2, 1986",us US,10,Colorado State
Milwaukee Bucks,2018-19,Tony Snell,snellto01,MIL,SF,6-6,213,"November 10, 1991",us US,5,New Mexico
Milwaukee Bucks,2018-19,D.J. Wilson,wilsodj01,MIL,PF,6-10,231,"February 19, 1996",us US,1,Michigan
Milwaukee Bucks,2018-19,Christian Wood,woodch01,MIL,PF,6-8,214,"September 27, 1995",us US,2,UNLV
Philadelphia 76ers,2018-19,Jonah Bolden,boldejo01,PHI,PF,6-8,225,"January 2, 1996",au AU,R,UCLA
Philadelphia 76ers,2018-19,Corey Brewer,breweco01,PHI,SF,6-9,186,"March 5, 1986",us US,11,Florida
Philadelphia 76ers,2018-19,Jimmy Butler,butleji01,PHI,SF,6-6,230,"September 14, 1989",us US,7,Tyler Junior College
Philadelphia 76ers,2018-19,Wilson Chandler,chandwi01,PHI,PF,6-8,235,"May 10, 1987",us US,10,DePaul
Philadelphia 76ers,2018-19,Robert Covington,covinro01,PHI,SF,6-7,209,"December 14, 1990",us US,5,Tennessee State
Philadelphia 76ers,2018-19,Joel Embiid,embiijo01,PHI,C,7-0,280,"March 16, 1994",cm CM,2,Kansas
Philadelphia 76ers,2018-19,James Ennis III,ennisja01,PHI,SF,6-6,215,"July 1, 1990",us US,4,Cal State Long Beach
Philadelphia 76ers,2018-19,Markelle Fultz,fultzma01,PHI,SG,6-4,209,"May 29, 1998",us US,1,Washington
Philadelphia 76ers,2018-19,Tobias Harris,harrito02,PHI,PF,6-8,226,"July 15, 1992",us US,7,Tennessee
Philadelphia 76ers,2018-19,Haywood Highsmith,highsha01,PHI,SF,6-5,220,"December 9, 1996",us US,R,Wheeling University
Philadelphia 76ers,2018-19,Demetrius Jackson,jacksde01,PHI,PG,6-1,201,"September 7, 1994",us US,2,Notre Dame
Philadelphia 76ers,2018-19,Amir Johnson,johnsam01,PHI,C,6-9,240,"May 1, 1987",us US,13,
Philadelphia 76ers,2018-19,Furkan Korkmaz,korkmfu01,PHI,SG,6-7,202,"July 24, 1997",tr TR,1,
Philadelphia 76ers,2018-19,Boban MarjanoviÄ,marjabo01,PHI,C,7-4,290,"August 15, 1988",rs RS,3,
Philadelphia 76ers,2018-19,T.J. McConnell,mccontj01,PHI,PG,6-1,190,"March 25, 1992",us US,3,Duquesne
Philadelphia 76ers,2018-19,Shake Milton,miltosh01,PHI,SG,6-5,205,"September 26, 1996",us US,R,SMU
Philadelphia 76ers,2018-19,Greg Monroe,monrogr01,PHI,C,6-11,265,"June 4, 1990",us US,8,Georgetown
Philadelphia 76ers,2018-19,Mike Muscala,muscami01,PHI,PF,6-10,240,"July 1, 1991",us US,5,Bucknell
Philadelphia 76ers,2018-19,Justin Patton,pattoju01,PHI,C,6-11,241,"June 14, 1997",us US,1,Creighton
Philadelphia 76ers,2018-19,JJ Redick,redicjj01,PHI,SG,6-3,200,"June 24, 1984",us US,12,Duke
Philadelphia 76ers,2018-19,Dario Å ariÄ,saricda01,PHI,PF,6-10,225,"April 8, 1994",hr HR,2,
Philadelphia 76ers,2018-19,Mike Scott,scottmi01,PHI,PF,6-7,237,"July 16, 1988",us US,6,Virginia
Philadelphia 76ers,2018-19,Landry Shamet,shamela01,PHI,SG,6-5,190,"March 13, 1997",us US,R,Wichita State
Philadelphia 76ers,2018-19,Ben Simmons,simmobe01,PHI,PG,6-10,240,"July 20, 1996",au AU,1,LSU
Philadelphia 76ers,2018-19,Jonathon Simmons,simmojo02,PHI,SF,6-6,195,"September 14, 1989",us US,3,Houston
Philadelphia 76ers,2018-19,Zhaire Smith,smithzh01,PHI,SG,6-3,205,"June 4, 1999",us US,R,Texas Tech
Boston Celtics,2018-19,Aron Baynes,baynear01,BOS,C,6-10,260,"December 9, 1986",nz NZ,6,Washington State
Boston Celtics,2018-19,Jaylen Brown,brownja02,BOS,SG,6-6,223,"October 24, 1996",us US,2,California
Boston Celtics,2018-19,PJ Dozier,doziepj01,BOS,SG,6-6,212,"October 25, 1996",us US,1,South Carolina
Boston Celtics,2018-19,Gordon Hayward,haywago01,BOS,PF,6-7,225,"March 23, 1990",us US,8,Butler
Boston Celtics,2018-19,Al Horford,horfoal01,BOS,C,6-8,240,"June 3, 1986",do DO,11,Florida
Boston Celtics,2018-19,R.J. Hunter,hunterj01,BOS,SG,6-5,185,"October 24, 1993",us US,3,Georgia State University
Boston Celtics,2018-19,Kyrie Irving,irvinky01,BOS,PG,6-2,195,"March 23, 1992",au AU,7,Duke
Boston Celtics,2018-19,Greg Monroe,monrogr01,BOS,C,6-11,265,"June 4, 1990",us US,8,Georgetown
Boston Celtics,2018-19,Marcus Morris,morrima03,BOS,PF,6-8,218,"September 2, 1989",us US,7,Kansas
Boston Celtics,2018-19,Semi Ojeleye,ojelese01,BOS,PF,6-6,240,"December 5, 1994",us US,1,Duke
Boston Celtics,2018-19,Terry Rozier,roziete01,BOS,PG,6-1,190,"March 17, 1994",us US,3,Louisville
Boston Celtics,2018-19,Marcus Smart,smartma01,BOS,SG,6-3,220,"March 6, 1994",us US,4,Oklahoma State
Boston Celtics,2018-19,Jayson Tatum,tatumja01,BOS,SF,6-8,210,"March 3, 1998",us US,1,Duke
Boston Celtics,2018-19,Daniel Theis,theisda01,BOS,C,6-8,245,"April 4, 1992",de DE,1,
Boston Celtics,2018-19,Brad Wanamaker,wanambr01,BOS,PG,6-3,210,"July 25, 1989",us US,R,Pitt
Boston Celtics,2018-19,Robert Williams,williro04,BOS,C,6-9,249,"October 17, 1997",us US,R,Texas A&M
Boston Celtics,2018-19,Guerschon Yabusele,yabusgu01,BOS,PF,6-7,265,"December 17, 1995",fr FR,1,
Indiana Pacers,2018-19,Ike Anigbogu,anigbik01,IND,C,6-9,252,"October 17, 1998",us US,1,UCLA
Indiana Pacers,2018-19,Bojan BogdanoviÄ,bogdabo02,IND,SF,6-7,226,"April 18, 1989",ba BA,4,
Indiana Pacers,2018-19,Darren Collison,collida01,IND,PG,6-0,175,"August 23, 1987",us US,9,UCLA
Indiana Pacers,2018-19,Tyreke Evans,evansty01,IND,SG,6-6,220,"September 19, 1989",us US,9,Memphis
Indiana Pacers,2018-19,Aaron Holiday,holidaa01,IND,PG,6-0,185,"September 30, 1996",us US,R,UCLA
Indiana Pacers,2018-19,Alize Johnson,johnsal02,IND,PF,6-9,212,"April 22, 1996",us US,R,Frank Phillips College
Indiana Pacers,2018-19,Cory Joseph,josepco01,IND,PG,6-2,200,"August 20, 1991",ca CA,7,Texas
Indiana Pacers,2018-19,T.J. Leaf,leaftj01,IND,PF,6-10,222,"April 30, 1997",il IL,1,UCLA
Indiana Pacers,2018-19,Wesley Matthews,matthwe02,IND,SG,6-5,220,"October 14, 1986",us US,9,Marquette
Indiana Pacers,2018-19,Doug McDermott,mcderdo01,IND,SF,6-7,225,"January 3, 1992",us US,4,Creighton
Indiana Pacers,2018-19,Kyle O'Quinn,oquinky01,IND,C,6-9,250,"March 26, 1990",us US,6,Norfolk State
Indiana Pacers,2018-19,Victor Oladipo,oladivi01,IND,SG,6-3,213,"May 4, 1992",us US,5,Indiana
Indiana Pacers,2018-19,Davon Reed,reedda01,IND,SG,6-5,206,"June 11, 1995",us US,1,Miami (FL)
Indiana Pacers,2018-19,Domantas Sabonis,sabondo01,IND,C,6-10,240,"May 3, 1996",us US,2,Gonzaga
Indiana Pacers,2018-19,Edmond Sumner,sumneed01,IND,PG,6-4,190,"December 31, 1995",us US,1,Xavier
Indiana Pacers,2018-19,Myles Turner,turnemy01,IND,C,6-11,250,"March 24, 1996",us US,3,Texas
Indiana Pacers,2018-19,Thaddeus Young,youngth01,IND,PF,6-8,225,"June 21, 1988",us US,11,Georgia Tech
Brooklyn Nets,2018-19,Jarrett Allen,allenja01,BRK,C,6-9,243,"April 21, 1998",us US,1,Texas
Brooklyn Nets,2018-19,DeMarre Carroll,carrode01,BRK,PF,6-6,215,"July 27, 1986",us US,9,Vanderbilt
Brooklyn Nets,2018-19,Allen Crabbe,crabbal01,BRK,SG,6-5,212,"April 9, 1992",us US,5,California
Brooklyn Nets,2018-19,Mitch Creek,creekmi01,BRK,SF,6-6,225,"April 27, 1992",au AU,R,
Brooklyn Nets,2018-19,Ed Davis,davised01,BRK,C,6-9,218,"June 5, 1989",us US,8,UNC
Brooklyn Nets,2018-19,Spencer Dinwiddie,dinwisp01,BRK,PG,6-5,215,"April 6, 1993",us US,4,Colorado
Brooklyn Nets,2018-19,Jared Dudley,dudleja01,BRK,PF,6-6,237,"July 10, 1985",us US,11,Boston College
Brooklyn Nets,2018-19,Kenneth Faried,farieke01,BRK,C,6-8,220,"November 19, 1989",us US,7,Morehead State University
Brooklyn Nets,2018-19,Treveon Graham,grahatr01,BRK,SG,6-5,219,"October 28, 1993",us US,2,VCU
Brooklyn Nets,2018-19,Joe Harris,harrijo01,BRK,SG,6-6,220,"September 6, 1991",us US,4,Virginia
Brooklyn Nets,2018-19,Rondae Hollis-Jefferson,holliro01,BRK,SF,6-6,217,"January 3, 1995",us US,3,Arizona
Brooklyn Nets,2018-19,Rodions Kurucs,kurucro01,BRK,SF,6-9,228,"February 5, 1998",lv LV,R,
Brooklyn Nets,2018-19,Caris LeVert,leverca01,BRK,SF,6-7,205,"August 25, 1994",us US,2,Michigan
Brooklyn Nets,2018-19,Tahjere McCall,mccalta01,BRK,SG,6-5,190,"August 17, 1994",us US,R,Tennessee State
Brooklyn Nets,2018-19,DÅ¾anan Musa,musadz01,BRK,SG,6-9,217,"May 8, 1999",ba BA,R,
Brooklyn Nets,2018-19,Shabazz Napier,napiesh01,BRK,PG,6-0,175,"July 14, 1991",us US,4,UConn
Brooklyn Nets,2018-19,Theo Pinson,pinsoth01,BRK,SG,6-5,212,"November 5, 1995",us US,R,UNC
Brooklyn Nets,2018-19,D'Angelo Russell,russeda01,BRK,PG,6-3,193,"February 23, 1996",us US,3,Ohio State
Brooklyn Nets,2018-19,Alan Williams,willial03,BRK,PF,6-8,265,"January 28, 1993",us US,3,UC Santa Barbara
Orlando Magic,2018-19,D.J. Augustin,augusdj01,ORL,PG,5-11,183,"November 10, 1987",us US,10,Texas
Orlando Magic,2018-19,Mo Bamba,bambamo01,ORL,C,7-0,231,"May 12, 1998",us US,R,Texas
Orlando Magic,2018-19,Khem Birch,birchkh01,ORL,C,6-8,233,"September 28, 1992",ca CA,1,Pitt
Orlando Magic,2018-19,Isaiah Briscoe,briscis01,ORL,PG,6-3,215,"April 13, 1996",us US,R,Kentucky
Orlando Magic,2018-19,Michael Carter-Williams,cartemi01,ORL,PG,6-6,205,"October 10, 1991",us US,5,Syracuse
Orlando Magic,2018-19,Troy Caupain,caupatr01,ORL,PG,6-4,210,"November 29, 1995",us US,R,Cincinnati
Orlando Magic,2018-19,Evan Fournier,fournev01,ORL,SG,6-6,205,"October 29, 1992",fr FR,6,
Orlando Magic,2018-19,Melvin Frazier,frazime01,ORL,SG,6-6,210,"August 30, 1996",us US,R,Tulane
Orlando Magic,2018-19,Aaron Gordon,gordoaa01,ORL,PF,6-8,235,"September 16, 1995",us US,4,Arizona
Orlando Magic,2018-19,Jerian Grant,grantje02,ORL,PG,6-4,205,"October 9, 1992",us US,3,Notre Dame
Orlando Magic,2018-19,Jonathan Isaac,isaacjo01,ORL,PF,6-10,230,"October 3, 1997",us US,1,Florida State
Orlando Magic,2018-19,Wes Iwundu,iwundwe01,ORL,SF,6-6,195,"December 20, 1994",us US,1,Kansas State
Orlando Magic,2018-19,Amile Jefferson,jeffeam01,ORL,PF,6-9,222,"May 7, 1993",us US,R,Duke
Orlando Magic,2018-19,Jarell Martin,martija01,ORL,PF,6-10,239,"May 24, 1994",us US,3,LSU
Orlando Magic,2018-19,Terrence Ross,rosste01,ORL,SG,6-6,206,"February 5, 1991",us US,6,Washington
Orlando Magic,2018-19,Jonathon Simmons,simmojo02,ORL,SG,6-6,195,"September 14, 1989",us US,3,Houston
Orlando Magic,2018-19,Nikola VuÄeviÄ,vucevni01,ORL,C,6-9,260,"October 24, 1990",ch CH,7,USC
Detroit Pistons,2018-19,Bruce Brown,brownbr01,DET,SG,6-4,202,"August 15, 1996",us US,R,Miami (FL)
Detroit Pistons,2018-19,Reggie Bullock,bullore01,DET,SG,6-6,205,"March 16, 1991",us US,5,UNC
Detroit Pistons,2018-19,JosÃ© CalderÃ³n,caldejo01,DET,PG,6-3,200,"September 28, 1981",es ES,13,
Detroit Pistons,2018-19,Andre Drummond,drumman01,DET,C,6-11,279,"August 10, 1993",us US,6,UConn
Detroit Pistons,2018-19,Henry Ellenson,ellenhe01,DET,PF,6-10,240,"January 13, 1997",us US,2,Marquette
Detroit Pistons,2018-19,Wayne Ellington,ellinwa01,DET,SG,6-4,207,"November 29, 1987",us US,9,UNC
Detroit Pistons,2018-19,Langston Galloway,gallola01,DET,SG,6-1,200,"December 9, 1991",us US,4,Saint Joseph's
Detroit Pistons,2018-19,Blake Griffin,griffbl01,DET,PF,6-9,250,"March 16, 1989",us US,8,Oklahoma
Detroit Pistons,2018-19,Reggie Jackson,jacksre01,DET,PG,6-2,208,"April 16, 1990",it IT,7,Boston College
Detroit Pistons,2018-19,Stanley Johnson,johnsst04,DET,SF,6-6,242,"May 29, 1996",us US,3,Arizona
Detroit Pistons,2018-19,Luke Kennard,kennalu01,DET,SG,6-5,206,"June 24, 1996",us US,1,Duke
Detroit Pistons,2018-19,Jon Leuer,leuerjo01,DET,PF,6-10,228,"May 14, 1989",us US,7,Wisconsin
Detroit Pistons,2018-19,Zach Lofton,loftoza01,DET,SG,6-4,180,"November 18, 1992",us US,R,Illinois State
Detroit Pistons,2018-19,Kalin Lucas,lucaska01,DET,PG,6-1,195,"May 24, 1989",us US,1,Michigan State
Detroit Pistons,2018-19,Thon Maker,makerth01,DET,PF,7-0,221,"February 25, 1997",ss SS,2,
Detroit Pistons,2018-19,Svi Mykhailiuk,mykhasv01,DET,SF,6-7,205,"June 10, 1997",ua UA,R,Kansas
Detroit Pistons,2018-19,Zaza Pachulia,pachuza01,DET,C,6-11,270,"February 10, 1984",ge GE,15,
Detroit Pistons,2018-19,Glenn Robinson III,robingl02,DET,SF,6-6,222,"January 8, 1994",us US,4,Michigan
Detroit Pistons,2018-19,Ish Smith,smithis01,DET,PG,6-0,175,"July 5, 1988",us US,8,Wake Forest
Detroit Pistons,2018-19,Khyri Thomas,thomakh01,DET,SG,6-3,210,"May 8, 1996",us US,R,Creighton
Charlotte Hornets,2018-19,Dwayne Bacon,bacondw01,CHO,SG,6-6,221,"August 30, 1995",us US,1,Florida State
Charlotte Hornets,2018-19,Nicolas Batum,batumni01,CHO,SF,6-7,230,"December 14, 1988",fr FR,10,
Charlotte Hornets,2018-19,Bismack Biyombo,biyombi01,CHO,C,6-8,255,"August 28, 1992",cd CD,7,
Charlotte Hornets,2018-19,Miles Bridges,bridgmi02,CHO,SF,6-7,225,"March 21, 1998",us US,R,Michigan State
Charlotte Hornets,2018-19,Joe Chealey,chealjo01,CHO,PG,6-4,190,"November 1, 1995",us US,R,College of Charleston
Charlotte Hornets,2018-19,Devonte' Graham,grahade01,CHO,PG,6-1,195,"February 22, 1995",us US,R,Kansas
Charlotte Hornets,2018-19,Willy HernangÃ³mez,hernawi01,CHO,C,6-11,250,"May 27, 1994",es ES,2,
Charlotte Hornets,2018-19,Frank Kaminsky,kaminfr01,CHO,C,7-0,240,"April 4, 1993",us US,3,Wisconsin
Charlotte Hornets,2018-19,Michael Kidd-Gilchrist,kiddgmi01,CHO,PF,6-6,230,"September 26, 1993",us US,6,Kentucky
Charlotte Hornets,2018-19,Jeremy Lamb,lambje01,CHO,SG,6-5,180,"May 30, 1992",us US,6,UConn
Charlotte Hornets,2018-19,Shelvin Mack,macksh01,CHO,PG,6-3,203,"April 22, 1990",us US,7,Butler
Charlotte Hornets,2018-19,J.P. Macura,macurjp01,CHO,SG,6-4,203,"June 5, 1995",us US,R,Xavier
Charlotte Hornets,2018-19,Malik Monk,monkma01,CHO,SG,6-3,200,"February 4, 1998",us US,1,Kentucky
Charlotte Hornets,2018-19,Tony Parker,parketo01,CHO,PG,6-2,185,"May 17, 1982",be BE,17,
Charlotte Hornets,2018-19,Kemba Walker,walkeke02,CHO,PG,6-0,184,"May 8, 1990",us US,7,UConn
Charlotte Hornets,2018-19,Marvin Williams,willima02,CHO,PF,6-8,237,"June 19, 1986",us US,13,UNC
Charlotte Hornets,2018-19,Cody Zeller,zelleco01,CHO,C,6-11,240,"October 5, 1992",us US,5,Indiana
Miami Heat,2018-19,Bam Adebayo,adebaba01,MIA,C,6-9,255,"July 18, 1997",us US,1,Kentucky
Miami Heat,2018-19,Ryan Anderson,anderry01,MIA,PF,6-9,240,"May 6, 1988",us US,10,California
Miami Heat,2018-19,Goran DragiÄ,dragigo01,MIA,PG,6-4,190,"May 6, 1986",si SI,10,
Miami Heat,2018-19,Wayne Ellington,ellinwa01,MIA,SG,6-4,207,"November 29, 1987",us US,9,UNC
Miami Heat,2018-19,Udonis Haslem,hasleud01,MIA,C,6-8,235,"June 9, 1980",us US,15,Florida
Miami Heat,2018-19,James Johnson,johnsja01,MIA,PF,6-7,240,"February 20, 1987",us US,9,Wake Forest
Miami Heat,2018-19,Tyler Johnson,johnsty01,MIA,PG,6-3,186,"May 7, 1992",us US,4,Fresno State
Miami Heat,2018-19,Derrick Jones Jr.,jonesde02,MIA,SF,6-6,210,"February 15, 1997",us US,2,UNLV
Miami Heat,2018-19,Yante Maten,matenya01,MIA,PF,6-7,240,"August 14, 1996",us US,R,Georgia
Miami Heat,2018-19,Rodney McGruder,mcgruro01,MIA,SG,6-4,205,"July 29, 1991",us US,2,Kansas State
Miami Heat,2018-19,Kelly Olynyk,olynyke01,MIA,PF,7-0,240,"April 19, 1991",ca CA,5,Gonzaga
Miami Heat,2018-19,Josh Richardson,richajo01,MIA,SG,6-5,200,"September 15, 1993",us US,3,Tennessee
Miami Heat,2018-19,Duncan Robinson,robindu01,MIA,SF,6-7,215,"April 22, 1994",us US,R,Williams
Miami Heat,2018-19,Emanuel Terry,terryem01,MIA,PF,6-9,220,"August 21, 1996",us US,R,Lincoln Memorial
Miami Heat,2018-19,Dwyane Wade,wadedw01,MIA,SG,6-4,220,"January 17, 1982",us US,15,Marquette
Miami Heat,2018-19,Dion Waiters,waitedi01,MIA,SG,6-3,215,"December 10, 1991",us US,6,Syracuse
Miami Heat,2018-19,Hassan Whiteside,whiteha01,MIA,C,7-0,265,"June 13, 1989",us US,6,Marshall
Miami Heat,2018-19,Justise Winslow,winslju01,MIA,SF,6-6,222,"March 26, 1996",us US,3,Duke
Washington Wizards,2018-19,Trevor Ariza,arizatr01,WAS,SF,6-8,215,"June 30, 1985",us US,14,UCLA
Washington Wizards,2018-19,Ron Baker,bakerro01,WAS,SG,6-4,220,"March 30, 1993",us US,2,Wichita State
Washington Wizards,2018-19,Bradley Beal,bealbr01,WAS,SG,6-4,207,"June 28, 1993",us US,6,Florida
Washington Wizards,2018-19,Troy Brown Jr.,browntr01,WAS,SF,6-7,215,"July 28, 1999",us US,R,Oregon
Washington Wizards,2018-19,Thomas Bryant,bryanth01,WAS,C,6-9,248,"July 31, 1997",us US,1,Indiana
Washington Wizards,2018-19,Sam Dekker,dekkesa01,WAS,PF,6-9,230,"May 6, 1994",us US,3,Wisconsin
Washington Wizards,2018-19,Jeff Green,greenje02,WAS,PF,6-8,235,"August 28, 1986",us US,10,Georgetown
Washington Wizards,2018-19,Dwight Howard,howardw01,WAS,C,6-10,265,"December 8, 1985",us US,14,
Washington Wizards,2018-19,John Jenkins,jenkijo01,WAS,SG,6-4,215,"March 6, 1991",us US,5,Vanderbilt
Washington Wizards,2018-19,Wesley Johnson,johnswe01,WAS,SF,6-7,215,"July 11, 1987",us US,8,Iowa State
Washington Wizards,2018-19,Ian Mahinmi,mahinia01,WAS,C,6-11,262,"November 5, 1986",fr FR,10,
Washington Wizards,2018-19,Jordan McRae,mcraejo01,WAS,SG,6-5,179,"March 28, 1991",us US,2,Tennessee
Washington Wizards,2018-19,Markieff Morris,morrima02,WAS,PF,6-9,245,"September 2, 1989",us US,7,Kansas
Washington Wizards,2018-19,Kelly Oubre Jr.,oubreke01,WAS,SF,6-8,203,"December 9, 1995",us US,3,Kansas
Washington Wizards,2018-19,Jabari Parker,parkeja01,WAS,PF,6-7,245,"March 15, 1995",us US,4,Duke
Washington Wizards,2018-19,Gary Payton II,paytoga02,WAS,PG,6-2,195,"December 1, 1992",us US,2,Oregon State
Washington Wizards,2018-19,Otto Porter Jr.,porteot01,WAS,SF,6-8,198,"June 3, 1993",us US,5,Georgetown
Washington Wizards,2018-19,Bobby Portis,portibo01,WAS,PF,6-9,250,"February 10, 1995",us US,3,Arkansas
Washington Wizards,2018-19,Chasson Randle,randlch01,WAS,PG,6-2,185,"February 5, 1993",us US,1,Stanford
Washington Wizards,2018-19,Austin Rivers,riverau01,WAS,SG,6-4,200,"August 1, 1992",us US,6,Duke
Washington Wizards,2018-19,Devin Robinson,robinde01,WAS,SF,6-8,200,"March 7, 1995",us US,1,Florida
Washington Wizards,2018-19,TomÃ¡Å¡ SatoranskÃ½,satorto01,WAS,PG,6-7,210,"October 30, 1991",cz CZ,2,
Washington Wizards,2018-19,Jason Smith,smithja02,WAS,C,7-0,240,"March 2, 1986",us US,10,Colorado State
Washington Wizards,2018-19,John Wall,walljo01,WAS,PG,6-3,210,"September 6, 1990",us US,8,Kentucky
Washington Wizards,2018-19,Okaro White,whiteok01,WAS,PF,6-8,205,"August 13, 1992",us US,2,Florida State
Atlanta Hawks,2018-19,Jaylen Adams,adamsja01,ATL,PG,6-0,225,"May 4, 1996",us US,R,St. Bonaventure
Atlanta Hawks,2018-19,Justin Anderson,anderju01,ATL,SF,6-6,230,"November 19, 1993",us US,3,Virginia
Atlanta Hawks,2018-19,Kent Bazemore,bazemke01,ATL,SG,6-4,195,"July 1, 1989",us US,6,Old Dominion
Atlanta Hawks,2018-19,DeAndre' Bembry,bembrde01,ATL,SG,6-5,210,"July 4, 1994",us US,2,Saint Joseph's
Atlanta Hawks,2018-19,Vince Carter,cartevi01,ATL,PF,6-6,220,"January 26, 1977",us US,20,UNC
Atlanta Hawks,2018-19,John Collins,collijo01,ATL,PF,6-9,226,"September 23, 1997",us US,1,Wake Forest
